Año,Trimestre,Provincia,Mbps (Media de bajada)
2016,3,Santiago Del Estero,4670.0
2016,3,Tierra Del Fuego,3480.0
2016,3,Tucumán,5540.0
2016,2,Buenos Aires,5420.0
2016,2,Capital Federal,6580.0
2016,2,Catamarca,4360.0
2016,2,Chaco,6300.0
2016,2,Chubut,3340.0
2016,2,Córdoba,5520.0
2016,2,Corrientes,5600.0
2016,2,Entre Ríos,5130.0
2016,2,Formosa,5100.0
2016,2,Jujuy,3840.0
2016,2,La Pampa,3150.0
2016,2,La Rioja,4770.0
2016,2,Mendoza,3500.0
2016,2,Misiones,6230.0
2016,2,Neuquén,4870.0
2016,2,Río Negro,3980.0
2016,2,Salta,4750.0
2016,2,San Juan,3490.0
2016,2,San Luis,3500.0
2016,2,Santa Cruz,3500.0
2016,2,Santa Fe,5140.0
2016,2,Santiago Del Estero,4310.0
2016,2,Tierra Del Fuego,3480.0
2016,2,Tucumán,5200.0
2016,1,Buenos Aires,4990.0
2016,1,Capital Federal,6050.0
2016,1,Catamarca,4200.0
2016,1,Chaco,5990.0
2016,1,Chubut,3380.0
2016,1,Córdoba,5160.0
2016,1,Corrientes,5370.0
2016,1,Entre Ríos,5080.0
2016,1,Formosa,4870.0
2016,1,Jujuy,3770.0
2016,1,La Pampa,3050.0
2016,1,La Rioja,4620.0
2016,1,Mendoza,3500.0
2016,1,Misiones,6000.0
2016,1,Neuquén,4420.0
2016,1,Río Negro,3830.0
2016,1,Salta,4740.0
2016,1,San Juan,3490.0
2016,1,San Luis,3500.0
2016,1,Santa Cruz,3480.0
2016,1,Santa Fe,4900.0
2016,1,Santiago Del Estero,4170.0
2016,1,Tierra Del Fuego,3480.0
2016,1,Tucumán,5000.0
2015,4,Buenos Aires,4880.0
2015,4,Capital Federal,5930.0
2015,4,Catamarca,4120.0
2015,4,Chaco,5830.0
2015,4,Chubut,3280.0
2015,4,Córdoba,5070.0
2015,4,Corrientes,5260.0
2015,4,Entre Ríos,5010.0
2015,4,Formosa,4660.0
2015,4,Jujuy,3720.0
2015,4,La Pampa,2940.0
2015,4,La Rioja,4520.0
2015,4,Mendoza,3500.0
2015,4,Misiones,5900.0
2015,4,Neuquén,4360.0
2015,4,Río Negro,3770.0
2015,4,Salta,4670.0
2015,4,San Juan,3480.0
2015,4,San Luis,3500.0
2015,4,Santa Cruz,3480.0
2015,4,Santa Fe,4810.0
2015,4,Santiago Del Estero,4090.0
2015,4,Tierra Del Fuego,3470.0
2015,4,Tucumán,4880.0
2015,3,Buenos Aires,4700.0
2015,3,Capital Federal,5660.0
2015,3,Catamarca,3880.0
2015,3,Chaco,5470.0
2015,3,Chubut,3280.0
2015,3,Córdoba,4870.0
2015,3,Corrientes,5060.0
2015,3,Entre Ríos,4770.0
2015,3,Formosa,4170.0
2015,3,Jujuy,3530.0
2015,3,La Pampa,2910.0
2015,3,La Rioja,4250.0
2015,3,Mendoza,3500.0
2015,3,Misiones,5630.0
2015,3,Neuquén,4230.0
2015,3,Río Negro,3740.0
2015,3,Salta,4420.0
2015,3,San Juan,3480.0
2015,3,San Luis,3500.0
2015,3,Santa Cruz,3480.0
2015,3,Santa Fe,4560.0
2015,3,Santiago Del Estero,3910.0
2015,3,Tierra Del Fuego,3480.0
2015,3,Tucumán,4570.0
2015,2,Buenos Aires,4460.0
2015,2,Capital Federal,5310.0
2015,2,Catamarca,3680.0
2015,2,Chaco,5190.0
2015,2,Chubut,3220.0
2015,2,Córdoba,4560.0
2015,2,Corrientes,4850.0
2015,2,Entre Ríos,4550.0
2015,2,Formosa,3760.0
2015,2,Jujuy,3410.0
2015,2,La Pampa,2860.0
2015,2,La Rioja,4000.0
2015,2,Mendoza,3500.0
2015,2,Misiones,5330.0
2015,2,Neuquén,4060.0
2015,2,Río Negro,3670.0
2015,2,Salta,4220.0
2015,2,San Juan,3480.0
2015,2,San Luis,3500.0
2015,2,Santa Cruz,3470.0
2015,2,Santa Fe,4300.0
2015,2,Santiago Del Estero,3730.0
2015,2,Tierra Del Fuego,3480.0
2015,2,Tucumán,4310.0
2015,1,Buenos Aires,4320.0
2015,1,Capital Federal,5000.0
2015,1,Catamarca,3480.0
2015,1,Chaco,4900.0
2015,1,Chubut,3210.0
2015,1,Córdoba,4300.0
2015,1,Corrientes,4630.0
2015,1,Entre Ríos,4350.0
2015,1,Formosa,3380.0
2015,1,Jujuy,3240.0
2015,1,La Pampa,2830.0
2015,1,La Rioja,3780.0
2015,1,Mendoza,3500.0
2015,1,Misiones,4970.0
2015,1,Neuquén,3910.0
2015,1,Río Negro,3590.0
2015,1,Salta,4020.0
2015,1,San Juan,3480.0
2015,1,San Luis,3500.0
2015,1,Santa Cruz,3470.0
2015,1,Santa Fe,4060.0
2015,1,Santiago Del Estero,3570.0
2015,1,Tierra Del Fuego,3450.0
2015,1,Tucumán,4070.0
2014,4,Buenos Aires,4200.0
2014,4,Capital Federal,4780.0
2014,4,Catamarca,3340.0
2014,4,Chaco,3980.0
2014,4,Chubut,3170.0
2014,4,Córdoba,4090.0
2014,4,Corrientes,3810.0
2014,4,Entre Ríos,3800.0
2014,4,Formosa,3020.0
2014,4,Jujuy,3130.0
2014,4,La Pampa,2750.0
2014,4,La Rioja,3580.0
2014,4,Mendoza,3500.0
2014,4,Misiones,4030.0
2014,4,Neuquén,3850.0
2014,4,Río Negro,3540.0
